
---------- Begin Simulation Statistics ----------
simSeconds                                   0.001159                       # Number of seconds simulated (Second)
system.cpu0.commit.numCommittedDist::6           3588      1.23%     89.17% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::7           3398      1.16%     90.33% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::8          28223      9.67%    100.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::total       291855                       # Number of insts commited each cycle (Count)
system.cpu0.commit.instsCommitted              224469                       # Number of instructions committed (Count)
system.cpu0.commit.opsCommitted                416501                       # Number of ops (including micro ops) committed (Count)
system.cpu0.commit.memRefs                      75183                       # Number of memory references committed (Count)
system.cpu0.commit.loads                        54169                       # Number of loads committed (Count)
system.cpu0.commit.amos                             0                       # Number of atomic instructions committed (Count)
system.cpu0.commit.membars                        470                       # Number of memory barriers committed (Count)
system.cpu0.commit.branches                     48653                       # Number of branches committed (Count)
system.cpu0.commit.vectorInstructions               0                       # Number of committed Vector instructions. (Count)
system.cpu0.commit.floating                     12441                       # Number of committed floating point instructions. (Count)
system.cpu0.commit.integer                     406882                       # Number of committed integer instructions. (Count)
system.cpu0.commit.functionCalls                 1521                       # Number of function calls committed. (Count)
system.cpu0.commit.committedInstType_0::No_OpClass         2504      0.60%      0.60% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntAlu       330659     79.39%     79.99% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntMult           36      0.01%     80.00% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntDiv         1874      0.45%     80.45% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatAdd          672      0.16%     80.61% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatCmp            0      0.00%     80.61% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatCvt          224      0.05%     80.66% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMult            0      0.00%     80.66% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMultAcc            0      0.00%     80.66% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatDiv            0      0.00%     80.66% # Class of committed instruction (Count)
